,StationCode,Station,StationName,Latitude,Longitude,HUC12,HUCName,County,State,Organization
424,CSI.Chaffee Creek @ Route 13,,Chaffee Creek @ Route 13,42.3047,-76.6765,20501030601,Pony Hollow Creek,Tompkins County,NY,1
425,CSI.Choconut Creek - Weis Markets,,Choconut Creek - Weis Markets,42.0712,-76.0466,20501030204,Lower Chocohut Creek,Broome County,NY,1
426,CSI.Cook House Creek @ Rt 23,,Cook House Creek @ Rt 23,42.6044,-75.6405,20501020606,Canasawacta Creek,Chenango County,NY,1
427,CSI.Cornell Creek @ Decker Rd,,Cornell Creek @ Decker Rd,42.2052,-75.5354,20501011205,Cornell Creek-Susquehanna River,Chenango County,NY,1
428,CSI.Cutler Creek @ Dyke Rd,,Cutler Creek @ Dyke Rd,42.2011,-77.0388,20501050402,Cutler Creek-Chemung River,Steuben County,NY,1
429,CSI.Cutler Creek @ Hornby Rd,,Cutler Creek @ Hornby Rd,42.1773,-77.0661,20501050402,Cutler Creek-Chemung River,Steuben County,NY,1
430,CSI.Danby Durfee Hill,,Danby Durfee Hill,42.3304,-76.4316,20501030303,Willseyville Creek,Tompkins County,NY,1
431,CSI.Danby Michigan Hollow,,Danby Michigan Hollow,42.2971,-76.4853,20501030301,Upper Catatonk Creek,Tompkins County,NY,1
432,CSI.Danby Steam Mill Rd,,Danby Steam Mill Rd,42.3476,-76.4601,20501030303,Willseyville Creek,Tompkins County,NY,1
433,CSI.Darling Creek,,Darling Creek,42.1715,-76.5762,20501030604,Middle Cayuta Creek,Chemung County,NY,1
434,CSI.Dean Creek,,Dean Creek,42.1065,-76.541,20501030605,Lower Cayuta Creek,Tioga County,NY,1
435,CSI.E. Branch Canasawacta @ Hwy 23,,E. Branch Canasawacta @ Hwy 23,42.5902,-75.5814,20501020604,East Branch Canasawacta Creek,Chenango County,NY,1
436,CSI.E. Branch Canasawacta Creek @ Pike Hill Rd,,E. Branch Canasawacta Creek @ Pike Hill Rd,42.6162,-75.6034,20501020604,East Branch Canasawacta Creek,Chenango County,NY,1
437,CSI.E. Owego Creek - Harford Mills @ Rt. 200,,E. Owego Creek - Harford Mills @ Rt. 200,42.4109,-76.2037,20501030402,Upper East Branch Owego Creek,Cortland County,NY,1
438,CSI.E. Owego Headwaters,,E. Owego Headwaters,42.4237,-76.2043,20501030401,Headwaters East Branch Owego Creek,Cortland County,NY,1
439,CSI.East Branch Owego Creek @ HF bridge,,East Branch Owego Creek at Harford Firehall Bridge,42.428000000000004,-76.2251,20501030402,Upper East Branch Owego Creek,Cortland County,NY,1
440,CSI.East Owego Creek - Dr Knapp,,East Owego Creek - Dr Knapp,42.1935,-76.2058,20501030409,Lower East Branch Owego Creek-Owego Creek,Tioga County,NY,1
441,CSI.Fly Meadow Creek @ Georgetown PullOver,,Fly Meadow Creek @ Georgetown PullOver,42.4626,-75.5851,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
442,CSI.Fly Meadow Creek @ Kalicicki Road,,Fly Meadow Creek @ Kalicicki Road,42.483000000000004,-75.5985,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
443,CSI.Fly Meadow Creek @ Ruth's Bridge,,Fly Meadow Creek @ Ruth's Bridge,42.5316,-75.623,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
444,CSI.Fly Meadow Creek @ Tamarac Road Bridge,,Fly Meadow Creek @ Tamarac Road Bridge,42.5194,-75.6159,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
445,CSI.Fly meadow Tributary @ Old Mill Dam,,Fly meadow Tributary @ Old Mill Dam,42.5363,-75.6169,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
446,CSI.Glen Mary Candor,,Glen Mary Candor,42.1429,-76.295,20501030305,Lower Catatonk Creek,Tioga County,NY,1
447,CSI.Goldsmith Creek @ Draht Hill Rd,,Goldsmith Creek @ Draht Hill Rd,42.0966,-76.7571,20501050604,Baldwin Creek,Chemung County,NY,1
448,CSI.Guilford Creek @ Rt 8,,Guilford Creek @ Rt 8,42.3396,-75.4044,20501010909,Guilford Creek,Chenango County,NY,1
449,CSI.Guilford Lake Outlet @ Furnace Hill Rd,,Guilford Lake Outlet @ Furnace Hill Rd,42.4072,-75.4928,20501010909,Guilford Creek,Chenango County,NY,1
450,CSI.Hendy Creek @ Hendy Creek Rd,,Hendy Creek @ Hendy Creek Rd,42.076,-76.9273,20501050405,Hendy Creek-Chemung River,Chemung County,NY,1
451,CSI.Hodgmans Creek near Erwin Hollow Rd,,Hodgmans Creek near Erwin Hollow Rd,42.1811,-77.1044,20501050308,Hodgmans Creek-Cohocton River,Steuben County,NY,1
452,CSI.Hulbert Hollow Feeder,,Hulbert Hollow Feeder,42.2687,-76.5352,20501030301,Upper Catatonk Creek,Tioga County,NY,1
453,CSI.Hunts Creek @ Cortland St,,Hunts Creek @ Cortland St,42.4422,-76.0331,20501020406,Middle Tioughnioga River,Cortland County,NY,1
454,CSI.Hunts Creek @ Freetown Rd,,Hunts Creek @ Freetown Rd,42.5221,-76.0389,20501020406,Middle Tioughnioga River,Cortland County,NY,1
455,CSI.Jackson Creek @ 224,,Jackson Creek @ 224,42.2446,-76.6323,20501030603,Upper Cayuta Creek,Schuyler County,NY,1
456,CSI.Karr Valley Creek at Marvin Ln,,Karr Valley Creek at Marvin Ln,42.3164,-77.7411,20501040102,Karr Valley Creek,Allegany County,NY,1
457,CSI.Kelsey Brook @ Algerine St,,Kelsey Brook @ Algerine St,42.2404,-75.5263,20501011202,Kelsey Brook,Chenango County,NY,1
458,CSI.Kent Brook @ Rt 8,,Kent Brook @ Rt 8,42.3887,-75.4046,20501010910,Lower Unadilla River,Chenango County,NY,1
459,CSI.Langford Creek @ Railroad,,Langford Creek @ Railroad,42.19600000000001,-76.5638,20501030604,Middle Cayuta Creek,Chemung County,NY,1
460,CSI.Little York Lake Inlet,,Little York Lake Inlet,42.7109,-76.1516,20501020202,Upper Little York Lake-West Branch Tioughnioga River,Cortland County,NY,1
461,CSI.Lower Hawley Brook @ Cnty Rd 16,,Lower Hawley Brook @ Cnty Rd 16,42.6362,-75.6245,20501020604,East Branch Canasawacta Creek,Chenango County,NY,1
462,CSI.Lyon Brook Feeder @ Lyon Brook Rd,,Lyon Brook Feeder @ Lyon Brook Rd,42.4621,-75.5224,20501020610,Lyon Brook-Chenango River,Chenango County,NY,1
463,CSI.McDuffy Creek @ 224,,McDuffy Creek @ 224,42.2371,-76.6146,20501030603,Upper Cayuta Creek,Chemung County,NY,1
464,CSI.McHenry Valley Creek,,McHenry Valley Creek,42.308,-77.752,20501040101,McHenry Valley Creek,Allegany County,NY,1
465,CSI.Meads Creek @ Coon Hollow Rd,,Meads Creek @ Coon Hollow Rd,42.2902,-77.0668,20501050306,Meads Creek,Schuyler County,NY,1
466,CSI.Mid Hawley Brook @ Boos Law Road,,Mid Hawley Brook @ Boos Law Road,42.6462,-75.6226,20501020604,East Branch Canasawacta Creek,Chenango County,NY,1
467,CSI.Miller Creek @ Fisher Settlement Rd,,Miller Creek @ Fisher Settlement Rd,42.2365,-76.4853,20501030301,Upper Catatonk Creek,Tioga County,NY,1
468,CSI.Moyer Park Candor,,Moyer Park Candor,42.2275,-76.3359,20501030305,Lower Catatonk Creek,Tioga County,NY,1
469,CSI.Mudlick Creek @ Birch Creek Rd,,Mudlick Creek @ Birch Creek Rd,42.0274,-76.9727,20501050505,Mudlick Creek,Steuben County,NY,1
470,CSI.Nanticoke Creek - Carl St.,,Nanticoke Creek - Carl St.,42.1092,-76.0675,20501030105,Lower Nanticoke Creek,Broome County,NY,1
471,CSI.Nanticoke Creek - Rt 17C,,Nanticoke Creek - Rt 17C,42.0891,-76.0896,20501030105,Lower Nanticoke Creek,Broome County,NY,1
472,CSI.Newtown Creek @ 223,,Newtown Creek @ 223,42.1876,-76.7897,20501050501,North Branch Newtown Creek,Chemung County,NY,1
473,CSI.Newtown Creek @ Industrial Park Blvd,,Newtown Creek @ Industrial Park Blvd,42.1126,-76.8014,20501050503,Lower Newtown Creek,Chemung County,NY,1
474,CSI.Newtown Creek @ Railroad Bridge,,Newtown Creek @ Railroad Bridge,42.089,-76.7804,20501050503,Lower Newtown Creek,Chemung County,NY,1
475,CSI.North Bridge Halsey Valley,,North Bridge Halsey Valley,42.199,-76.4723,20501030302,South Branch Catatonk Creek,Tioga County,NY,1
476,CSI.Osborne Creek @ Rt 369,,Osborne Creek @ Rt 369,42.1685,-75.8318,20501020808,Osborne Creek,Broome County,NY,1
477,CSI.Owego Creek - Flem Bridge,,Owego Creek - Flem Bridge,42.1682,-76.2462,20501030409,Lower East Branch Owego Creek-Owego Creek,Tioga County,NY,1
478,CSI.Owen Hollow Creek @ 352,,Owen Hollow Creek @ 352,42.1325,-76.9372,20501050404,Whisky Creek-Chemung River,Chemung County,NY,1
479,CSI.Patterson Creek - Mouth,,Patterson Creek - Mouth,42.1068,-76.0141,20501030205,Patterson Creek-Susquehanna River,Broome County,NY,1
480,CSI.Patterson Creek - Source,,Patterson Creek - Source,42.1804,-76.0045,20501030205,Patterson Creek-Susquehanna River,Broome County,NY,1
481,CSI.Patterson Creek @ Dam,,Patterson Creek @ Dam,42.1258,-76.0213,20501030205,Patterson Creek-Susquehanna River,Broome County,NY,1
482,CSI.Pony Hollow Creek,,Pony Hollow Creek,42.2871,-76.6891,20501030601,Pony Hollow Creek,Tompkins County,NY,1
483,CSI.Pony Hollow Creek @ 224,,Pony Hollow Creek @ 224,42.2782,-76.6925,20501030601,Pony Hollow Creek,Schuyler County,NY,1
484,CSI.Pony Hollow Creek @ Cayuta Rd.,,Pony Hollow Creek @ Cayuta Rd.,42.29600000000001,-76.6857,20501030601,Pony Hollow Creek,Tompkins County,NY,1
485,CSI.Pony Hollow Creek @ Connecticut Hill Rd.,,Pony Hollow Creek @ Connecticut Hill Rd.,42.3178,-76.6664,20501030601,Pony Hollow Creek,Tompkins County,NY,1
486,CSI.Pony Hollow Creek @ Driveway Crossing,,Pony Hollow Creek @ Driveway Crossing,42.3088,-76.6771,20501030601,Pony Hollow Creek,Tompkins County,NY,1
487,CSI.Pony Hollow Creek Wetland @ Mazourek,,Pony Hollow Creek Wetland @ Mazourek,42.3242,-76.6479,20501030601,Pony Hollow Creek,Tompkins County,NY,1
488,CSI.Post Creek @ Ferenbaugh Campground,,Post Creek @ Ferenbaugh Campground,42.2024,-76.9916,20501050401,Post Creek,Steuben County,NY,1
489,CSI.Poysa Feeder,,Poysa Feeder,42.2483,-76.5371,20501030604,Middle Cayuta Creek,Chemung County,NY,1
490,CSI.Preston Public Spring,,Preston Public Spring,42.5607,-75.6195,20501020609,Turner Creek-Fly Meadow Creek,Chenango County,NY,1
491,CSI.Ryers Creek @ Johnson Road,,Ryers Creek @ Johnson Road,42.065,-77.107,20501040910,Outlet Tioga River,Steuben County,NY,1
492,CSI.Song Mountain Stream @ Lake Rd,,Song Mountain Stream @ Lake Rd,42.7769,-76.1534,20501020202,Upper Little York Lake-West Branch Tioughnioga River,Onondaga County,NY,1
493,CSI.South Bridge Halsey Valley,,South Bridge Halsey Valley,42.1981,-76.4724,20501030302,South Branch Catatonk Creek,Tioga County,NY,1
494,CSI.Spencer Village,,Spencer Village,42.2112,-76.4917,20501030301,Upper Catatonk Creek,Tioga County,NY,1
495,CSI.Sugar Creek - Powderhouse Rd,,Sugar Creek - Powderhouse Rd,42.0346,-76.0129,20501030204,Lower Chocohut Creek,Broome County,NY,1
496,CSI.Sulphur Springs Creek,,Sulphur Springs Creek,42.2178,-76.4445,20501030304,Middle Catatonk Creek,Tioga County,NY,1
497,CSI.Upper Hawley Brook @ Beaver Meadow Rd,,Upper Hawley Brook @ Beaver Meadow Rd,42.6616,-75.6274,20501020604,East Branch Canasawacta Creek,Chenango County,NY,1
498,CSI.Upper Langford,,Upper Langford,42.2483,-76.5358,20501030604,Middle Cayuta Creek,Tioga County,NY,1
499,CSI.Upper McDuffy Creek (Mt. Elston),,Upper McDuffy Creek (Mt. Elston),42.2563,-76.5556,20501030603,Upper Cayuta Creek,Chemung County,NY,1
500,CSI.West Owego Creek - 1st Bridge,,West Owego Creek - 1st Bridge,42.1856,-76.2471,20501030408,Lower West Branch Owego Creek,Tioga County,NY,1
501,CSI.West Owego Creek - Angler's Access,,West Owego Creek - Angler's Access,42.3424,-76.2444,20501030406,Middle West Branch Owego Creek,Tompkins County,NY,1
502,CSI.West Owego Creek - Pacific Rd,,West Owego Creek - Pacific Rd,42.3799,-76.2915,20501030405,Upper West Branch Owego Creek,Tompkins County,NY,1
503,CSI.West Owego Creek - Speedsville,,West Owego Creek - Speedsville,42.3067,-76.2503,20501030406,Middle West Branch Owego Creek,Tioga County,NY,1
504,CSI.Whiskey Creek at Riff Rd,,Whiskey Creek at Riff Rd,42.0991,-77.0398,20501050404,Whisky Creek-Chemung River,Steuben County,NY,1
505,CSI.Whiskey Creek at River Rd,,Whiskey Creek at River Rd,42.1201,-77.0217,20501050404,Whisky Creek-Chemung River,Steuben County,NY,1
506,CSI.Wilkins Brook @ Cnty Rd 17,,Wilkins Brook @ Cnty Rd 17,42.2742,-75.5427,20501011202,Kelsey Brook,Chenango County,NY,1
507,CSI.Wilseyville Creek at Gridley Crossing,,Wilseyville Creek at Gridley Crossing,42.2442,-76.3747,20501030303,Willseyville Creek,Tioga County,NY,1
508,CSI.Wylie Brook @ Rt 7 & 235,,Wylie Brook @ Rt 7 & 235,42.1907,-75.6168,20501011204,Wylie Brook,Broome County,NY,1
509,CSI.Wyncoop Creek - McDowell Rd,,Wyncoop Creek - McDowell Rd,42.1161,-76.6196,20501050606,Wynkoop Creek,Chemung County,NY,1
510,CSI.Yaleville Brook @ Cooper School House Rd,,Yaleville Brook @ Cooper School House Rd,42.3484,-75.4926,20501011203,Yaleville Brook-Susquehanna River,Chenango County,NY,1
511,CVTU.LETSPRRUN6.66,,LETSPRRUN 6.66,40.17365,-77.188767,20503050404,Letort Spring Run,Cumberland County,PA,1
512,CVTU.LETSPRRUN7.23,,LETSPRRUN 7.23,40.16865,-77.19336700000002,20503050404,Letort Spring Run,Cumberland County,PA,1
513,CVTU.UNTLETSPRRUN0.71,,UNTLETSPRRUN 0.71,40.173767,-77.177667,20503050404,Letort Spring Run,Cumberland County,PA,1
514,CWT.1.1,,1.1,37.5619,-77.6532,20802050606,East Branch Tuckahoe Creek-James River,Henrico County,VA,1
515,CWT.10,,10,37.5271,-77.5643,20802050607,Little Westham Creek-James River,Chesterfield County,VA,1
516,CWT.11,,11,37.5142,-77.5493,20802050607,Little Westham Creek-James River,Chesterfield County,VA,1
517,CWT.14,,14,37.5543,-77.604,20802050606,East Branch Tuckahoe Creek-James River,Chesterfield County,VA,1
518,CWT.15,,15,37.3306,-77.7275,20802070802,Winterpock Creek,Chesterfield County,VA,1
519,CWT.16,,16,37.4473,-77.73899999999998,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
520,CWT.18,,18,37.4435,-77.5221,20802060102,Falling Creek,Chesterfield County,VA,1
521,CWT.2,,2,37.4542,-77.5804,20802060102,Falling Creek,Chesterfield County,VA,1
522,CWT.20,,20,37.491,-77.5754,20802060102,Falling Creek,Chesterfield County,VA,1
523,CWT.202,,202,37.47825,-77.63507,20802060102,Falling Creek,Chesterfield County,VA,1
524,CWT.204,,204,37.47634,-77.6302,20802060102,Falling Creek,Chesterfield County,VA,1
525,CWT.21,,21,37.44191,-77.56483,20802060102,Falling Creek,Chesterfield County,VA,1
526,CWT.23,,23,37.3837,-77.6666,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
527,CWT.24,,24,37.3682,-77.5187,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
528,CWT.26,,26,37.5518,-77.6633,20802050604,Bernards Creek-James River,Chesterfield County,VA,1
529,CWT.29,,29,37.4416,-77.7119,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
530,CWT.3,,3,37.4917,-77.6429,20802060102,Falling Creek,Chesterfield County,VA,1
531,CWT.3.1,,3.1,37.497,-77.6451,20802060102,Falling Creek,Chesterfield County,VA,1
532,CWT.30,,30,37.4086,-77.7132,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
533,CWT.31,,31,37.4914,-77.541,20802060102,Falling Creek,Chesterfield County,VA,1
534,CWT.35,,35,37.3898,-77.5759,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
535,CWT.35.1,,35.1,37.3888,-77.5752,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
536,CWT.4,,4,37.4098,-77.6165,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
537,CWT.41,,41,37.4865,-77.6403,20802060102,Falling Creek,Chesterfield County,VA,1
538,CWT.42,,42,37.383767999999996,-77.49885400000002,20802060103,Proctors Creek-James River,Chesterfield County,VA,1
539,CWT.45,,45,37.4796,-77.6884,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
540,CWT.47,,47,37.457,-77.60006,20802060102,Falling Creek,Chesterfield County,VA,1
541,CWT.53,,53,37.4188,-77.4826,20802060103,Proctors Creek-James River,Chesterfield County,VA,1
542,CWT.56,,56,37.3187,-77.4869,20802070904,Franks Branch-Swift Creek,Chesterfield County,VA,1
543,CWT.57,,57,37.4444,-77.6539,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
544,CWT.58,,58,37.4694,-77.5466,20802060102,Falling Creek,Chesterfield County,VA,1
545,CWT.6,,6,37.4073,-77.6441,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
546,CWT.60,,60,37.4877,-77.6637,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
547,CWT.62,,62,37.3839,-77.4526,20802060103,Proctors Creek-James River,Chesterfield County,VA,1
548,CWT.65,,65,37.5191,-77.6849,20802050604,Bernards Creek-James River,Chesterfield County,VA,1
549,CWT.68,,68,37.5231,-77.5832,20802050607,Little Westham Creek-James River,Chesterfield County,VA,1
550,CWT.69,,69,37.3734,-77.4246,20802060103,Proctors Creek-James River,Chesterfield County,VA,1
551,CWT.7,,7 James River at Henricus,37.3749,-77.3605,20802060106,Curles Creek-James River,Chesterfield County,VA,1
552,CWT.70,,70,37.411,-77.6966,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
553,CWT.71,,71,37.4234,-77.7258,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
554,CWT.72,,72,37.4584,-77.6144,20802060102,Falling Creek,Chesterfield County,VA,1
555,CWT.74,,74,37.4093,-77.6433,20802070902,Third Branch-Swift Creek,Chesterfield County,VA,1
556,CWT.75,,75,37.4849,-77.6669,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
557,CWT.79,,79,37.4771,-77.7126,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
558,CWT.8,,8,37.3631,-77.3091,20802060106,Curles Creek-James River,Henrico County,VA,1
559,CWT.CWT76,,76,37.3915,-77.6994,20802070901,Swift Creek Reservoir-Swift Creek,Chesterfield County,VA,1
560,CWT.FCR10,,FCR10,37.45847,-77.48428,20802060102,Falling Creek,Chesterfield County,VA,1
561,CWT.FCR5,,FCR5 ,37.4591,-77.4834,20802060102,Falling Creek,Chesterfield County,VA,1
562,CWT.FCR6,,FCR6,37.4622,-77.4683,20802060102,Falling Creek,Chesterfield County,VA,1
563,CWT.FCR7,,FCR7,37.4587,-77.4777,20802060102,Falling Creek,Chesterfield County,VA,1
564,CWT.FCR8,,FCR8,37.4854,-77.4732,20802060101,Almond Creek-James River,Richmond city,VA,1
565,CWT.FCR9,,FCR9,37.459,-77.4749,20802060102,Falling Creek,Chesterfield County,VA,1
566,ENERWA.,,STR,39.5988,-75.952,20600020102,North East Creek,Cecil County,MD,1
567,ENERWA.CAL,,CAL,39.68897,-76.00768000000002,20600020102,North East Creek,Cecil County,MD,1
568,ENERWA.CTN,,CTN,39.5693,-75.9723,20600020104,North East River-Frontal Chesapeake Bay,Cecil County,MD,1
569,ENERWA.DRM,,DRM,39.6814,-75.9517,20600020101,Little North East Creek,Cecil County,MD,1
570,ENERWA.GIL,,GIL,39.6486,-75.9555,20600020102,North East Creek,Cecil County,MD,1
571,ENERWA.HSP,,HSP,39.6022,-75.9437,20600020102,North East Creek,Cecil County,MD,1
572,ENERWA.NEP,,NEP,39.5927,-75.9469,20600020104,North East River-Frontal Chesapeake Bay,Cecil County,MD,1
573,ENERWA.SMA,,SMA,39.5958,-75.9441,20600020102,North East Creek,Cecil County,MD,1
574,ENERWA.WAR,,WAR,39.6611,-75.9323,20600020101,Little North East Creek,Cecil County,MD,1
575,FB.FOBBT01,,FOB BT01,39.480194,-75.93002800000002,20600020206,Bohemia River,Cecil County,MD,1
576,FB.FOBBT02,,FOB BT02,39.480444,-75.902528,20600020206,Bohemia River,Cecil County,MD,1
577,FB.FOBBT03,,FOB BT03,39.466889,-75.873639,20600020206,Bohemia River,Cecil County,MD,1
578,FB.FOBBT04,,FOB BT04,39.454,-75.854444,20600020206,Bohemia River,Cecil County,MD,1
579,FB.FOBBT05,,FOB BT05,39.463667,-75.843528,20600020206,Bohemia River,Cecil County,MD,1
580,FB.FOBBT06,,FOB BT06,39.459333,-75.88005600000002,20600020206,Bohemia River,Cecil County,MD,1
581,GCWD.BALRUN1.44,,BALRUN1.44,41.7947,-77.30473,20502050303,Marsh Creek,Tioga County,PA,1
582,GCWD.BALRUN4.02,,BALRUN4.02,41.81431667,-77.34078000000002,20502050303,Marsh Creek,Tioga County,PA,1
583,GCWD.BEEFLARUN0.12,,BEEFLARUN0.12,41.72041667,-77.68421667,20502050102,Wetmore Run-West Branch Pine Creek,Potter County,PA,1
584,GCWD.BIGMOORUN3.70,,BIGMOORUN3.70,41.67988,-77.98769200000002,20502020401,Big Moores Run,Potter County,PA,1
585,GCWD.BIGMOORUN5.78,,BIGMOORUN5.78,41.7069,-77.97625,20502020401,Big Moores Run,Potter County,PA,1
586,GCWD.BORBRA0.39,,BORBRA0.39,41.6572,-77.959458,20502020403,Upper First Fork Sinnemahoning Creek,Potter County,PA,1
587,GCWD.CALCRE0.11,,CALCRE0.11,41.846317,-77.702733,20502050203,Genesee Forks,Potter County,PA,1
588,GCWD.COWRIV34.68,,COWRIV34.68,41.92933,-77.62858299999998,20501040801,Headwaters Cowanesque River,Potter County,PA,1
589,GCWD.CROCRE13.23,,CROCRE13.23,41.842420000000004,-77.27702,20501040606,Middle Crooked Creek,Tioga County,PA,1
590,GCWD.DODHOLRUN0.32,,DODHOLRUN0.32,41.9225,-77.62645,20501040801,Headwaters Cowanesque River,Potter County,PA,1
591,GCWD.EASFORSINCRE10.25,,EASFORSINCRE10.25,41.609215,-77.88983333,20502020405,East Fork Sinnemahoning Creek,Potter County,PA,1
592,GCWD.EASFORSINCRE11.03,,EASFORSINCRE11.03,41.61528833,-77.87932361,20502020405,East Fork Sinnemahoning Creek,Potter County,PA,1
593,GCWD.EASFORSINCRE12.53,,EASFORSINCRE12.53,41.62841306,-77.86014499999997,20502020405,East Fork Sinnemahoning Creek,Potter County,PA,1
594,GCWD.GENFOR10.77,,GENFOR10.77,41.84637,-77.7018,20502050203,Genesee Forks,Potter County,PA,1
595,GCWD.GENFOR9.31,,GENFOR9.31,41.82705,-77.70625,20502050203,Genesee Forks,Potter County,PA,1
596,GCWD.GERBRA4.32,,GERBRA4.32,41.64688889,-77.65480556,20502030102,Upper Kettle Creek,Potter County,PA,1
597,GCWD.HEIRUN0.01,,HEIRUN0.01,41.77267,-77.3549,20502050303,Marsh Creek,Tioga County,PA,1
598,GCWD.HEIRUN1.68,,HEIRUN1.68,41.75006667,-77.34817,20502050303,Marsh Creek,Tioga County,PA,1
599,GCWD.KETCRE53.66,,KETCRE53.66,41.58548333,-77.63618333,20502030102,Upper Kettle Creek,Potter County,PA,1
600,GCWD.LAURUN0.06,,LAURUN0.06,41.82895,-77.63941667,20502050205,Phoenix Run,Potter County,PA,1
601,GCWD.LICRUN0.19,,LICRUN0.19,41.74223333,-77.53732,20502050208,Lick Run-Pine Creek,Tioga County,PA,1
602,GCWD.LITKETCRE2.51,,LITKETCRE2.51,41.5874,-77.70665,20502030101,Little Kettle Creek,Potter County,PA,1
603,GCWD.LITPHORUN0.02,,LITPHORUN0.02,41.811679999999996,-77.62345,20502050205,Phoenix Run,Potter County,PA,1
604,GCWD.LONRUN4.13,,LONRUN4.13,41.79447800000001,-77.5719,20502050207,Long Run,Tioga County,PA,1
605,GCWD.MARCRE0.05,,MARCRE0.05,41.94638,-77.685317,20501040801,Headwaters Cowanesque River,Potter County,PA,1
606,GCWD.MARCRE10.99,,MARCRE10.99,41.77943,-77.31009,20502050303,Marsh Creek,Tioga County,PA,1
607,GCWD.MARCRE6.38,,MARCRE6.38,41.772838,-77.35508,20502050303,Marsh Creek,Tioga County,PA,1
608,GCWD.MILCRE1.08,,MILCRE1.08,41.905986,-77.53425,20501040803,Elklick Run-Mill Creek,Tioga County,PA,1
609,GCWD.MILCRE1.67,,MILCRE1.67,41.898775,-77.53058,20501040803,Elklick Run-Mill Creek,Tioga County,PA,1
610,GCWD.MILCRE2.32,,MILCRE2.32,41.889884,-77.5297,20501040803,Elklick Run-Mill Creek,Tioga County,PA,1
611,GCWD.MILRUN0.01,,MILRUN0.01,41.75211667,-77.50378,20502050208,Lick Run-Pine Creek,Tioga County,PA,1
612,GCWD.MOOHOLRUN0.06,,MOOHOLRUN0.06,41.91678333,-77.62438333,20501040801,Headwaters Cowanesque River,Potter County,PA,1
613,GCWD.NINRUN5.08,,NINRUN5.08,41.78516667,-77.79863889,20502050201,Ninemile Run,Potter County,PA,1
614,GCWD.NORBRACOWRIV0.04,,NORBRACOWRIV0.04,41.94142,-77.64935,20501040801,Headwaters Cowanesque River,Potter County,PA,1
615,GCWD.PAIRUN0.53,,PAIRUN0.53,41.74135,-77.49783000000002,20502050208,Lick Run-Pine Creek,Tioga County,PA,1
616,GCWD.PHORUN4.36,,PHORUN4.36,41.79868333,-77.61605,20502050205,Phoenix Run,Potter County,PA,1
617,GCWD.PHORUN7.54,,PHORUN7.54,41.8358,-77.63815,20502050205,Phoenix Run,Potter County,PA,1
618,GCWD.PHORUN7.69,,PHORUN7.69,41.83788,-77.6392,20502050205,Phoenix Run,Potter County,PA,1
619,GCWD.PINCRE64.20,,PINCRE64.20,41.75203333,-77.5038,20502050208,Lick Run-Pine Creek,Tioga County,PA,1
620,GCWD.PINCRE64.21,,PINCRE64.21,41.75211667,-77.50397,20502050208,Lick Run-Pine Creek,Tioga County,PA,1
621,GCWD.PRORUN2.55,,PRORUN2.55,41.65761333,-77.91459,20502020403,Upper First Fork Sinnemahoning Creek,Potter County,PA,1
622,GCWD.SOUBRAPINCRE0.17,,SOUBRAPINCRE0.17,41.73213300000001,-77.64145,20502050204,Johnson Brook-Pine Creek,Potter County,PA,1
623,GCWD.SUNBRA0.76,,SUNBRA0.76,41.68773333,-77.801,20502050102,Wetmore Run-West Branch Pine Creek,Potter County,PA,1
624,GCWD.UKW006,,UKW006,41.70792,-77.69363299999998,20502050102,Wetmore Run-West Branch Pine Creek,Potter County,PA,1
625,GCWD.UKW029,,UKW029,41.80456667,-77.29553,20502050303,Marsh Creek,Tioga County,PA,1
626,GCWD.UKW030,,UKW030,41.81018333,-77.28352,20502050303,Marsh Creek,Tioga County,PA,1
627,GCWD.UNTBALRUN0.23,,UNTBALRUN0.23,41.79036667,-77.30237,20502050303,Marsh Creek,Tioga County,PA,1
628,GCWD.UNTBALRUN0.95,,UNTBALRUN0.95,41.79743300000001,-77.29553,20502050303,Marsh Creek,Tioga County,PA,1
